"INDICATOR";"FREQ";"AGE";"SEX";"LOCATION";"REF_AREA";"SCENARIO";"TIME_PERIOD";"OBS_VALUE"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRQ";"M";"2015";"1.318"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRQ";"M";"2020";"1.164"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ISR";"M";"1995";"8.65"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ISR";"M";"2000";"3.263"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ISR";"M";"2005";"7.805"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ISR";"M";"2010";"-1.981"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ISR";"M";"2015";"0.998"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ISR";"M";"2020";"0.796"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ITA";"M";"1995";"0.786"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ITA";"M";"2000";"6.41"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ITA";"M";"2005";"6.415"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ITA";"M";"2010";"2.959"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ITA";"M";"2015";"2.448"
