Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2017-02-01,,,,,
,,,,,,
"Egypt, Arab Rep.",EGY,"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Labor force with secondary education (% of total),SL.TLF.SECO.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Labor force with primary education (% of total),SL.TLF.PRIM.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,,,
"Egypt, Arab Rep.",EGY,"Part time employment, female (% of total part time employment)",SL.TLF.PART.TL.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,49.2999992371,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,75,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,,,
"Egypt, Arab Rep.",EGY,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,31.7333323161,,
"Egypt, Arab Rep.",EGY,Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,23.7999992371,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,,,
